525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
17497,65241,22168,128287,92282,211886,111784,371223
17625,65391,22206,128194,92359,212073,111882,371297
17523,65302,22039,128241,92299,211830,111865,371138
17445,65144,22198,128185,92162,211706,111788,371172
17586,65408,22193,128156,92299,212107,111861,371126
17591,65340,22010,128139,92388,212142,111831,371274
17557,65139,22147,128092,92226,211762,111729,371079
17582,65289,22159,128335,92299,211992,111831,370993
17637,65528,22090,128160,92444,212218,111852,371232
17523,65156,22073,128190,92243,211813,111763,371058
17544,65229,22117,128151,92312,212009,111895,371206
17654,65391,22215,128304,92350,212159,111912,371288
17586,65298,22134,128262,92469,212052,111916,371297
17561,65241,22227,128181,92162,211830,111810,371138
17569,65463,22219,128287,92422,211992,111938,371352
17599,65327,21984,128045,92410,211920,111886,371130
17506,65110,22181,128122,92230,211821,111767,371075
17544,65241,22219,128083,92291,212001,111865,371253
17612,65412,21997,128292,92393,212176,111890,371219
17458,65127,22078,128071,92226,211698,111661,371164
17540,65259,22164,128331,92230,211873,111882,371045
17599,65425,22168,128292,92431,212125,111942,371297
17552,65285,22039,128185,92303,211821,111818,371121
17489,65084,22121,128088,92226,211817,111805,371024
17599,65357,22236,128335,92397,212064,111839,371292
17578,65455,22014,128151,92359,212022,111882,371284
17472,65216,22185,128147,92217,211732,111788,371083
17540,65349,22198,128253,92308,211950,111848,371314
17633,65493,22134,128352,92499,212005,111899,371284
17540,65182,22078,128151,92239,211651,111725,371100
17484,65289,22134,128219,92251,211749,111793,370989
17616,65357,22138,128211,92354,212155,111890,371181
17514,65229,22048,128185,92329,211920,111810,371138
17462,65131,22151,128045,92179,211728,111754,371113
17552,65421,22210,128322,92295,212150,111784,371292
17527,65293,22039,128215,92410,212094,111814,371104
17458,65190,22078,128236,92166,211728,111822,371155
17506,65370,22113,128173,92239,211992,111822,371164
17603,65520,22039,128365,92503,212155,111959,371441
17493,65097,22078,128041,92234,211821,111784,371092
17531,65255,22159,128258,92256,211950,111861,371245
17620,65524,22223,128390,92495,212210,111942,371420
17578,65344,22082,128160,92367,211856,111844,371160
17476,65285,22130,128054,92200,211899,111759,371126
17620,65459,22274,128258,92354,212125,111831,371270
17565,65391,21929,128211,92410,212094,111968,371236
17484,65131,22193,128279,92260,211647,111805,371147
17586,65298,22189,128228,92329,212009,111856,371130
17663,65514,22027,128224,92418,212167,111955,371223
17531,65165,22103,128143,92234,211838,111861,371198
17561,65233,22176,128079,92260,211882,111822,371062
17608,65387,22155,128266,92342,211971,111844,371181
17548,65251,22117,128122,92401,211907,111797,371240
17514,65233,22223,128190,92264,211651,111793,371036
17608,65459,22240,128369,92329,212047,111890,371270
17595,65472,22069,128258,92384,212142,111835,371292
17484,65156,22266,128139,92196,211783,111801,371223
17514,65340,22227,128300,92264,212022,111869,371202
17625,65336,22065,128177,92410,212155,111873,371301
17531,65199,22005,128194,92268,211899,111844,371219
17476,65268,22198,128236,92226,211813,111848,370984
17582,65510,22215,128318,92354,212197,111964,371403
17557,65302,21993,128207,92354,211950,111810,371036
17535,65178,22155,128037,92166,211757,111788,371066
17557,65429,22210,128327,92427,212176,111890,371232
17565,65404,21937,128198,92401,212142,111835,371164
17454,65156,22147,128249,92192,211842,111869,371223
17531,65344,22159,128262,92346,212052,111856,371373
17561,65446,22151,128211,92439,212018,111907,371274
17518,65148,22078,128019,92209,211860,111835,371087
17510,65264,22048,128236,92179,211813,111912,371113
17591,65446,22117,128173,92388,211945,111890,371096
17514,65370,21980,128066,92376,211928,111801,371185
17514,65088,22107,128126,92209,211736,111805,371211
17527,65506,22176,128232,92308,212043,111831,371253
17548,65395,22027,128232,92350,212035,111835,371079
17369,65127,22172,127985,92179,211736,111810,371185
17514,65391,22159,128292,92268,211954,111930,371369
17574,65537,22090,128403,92456,212142,111890,371386
17514,65105,22138,127976,92209,211800,111763,371211
17535,65327,22189,128352,92222,211842,111839,371189
17591,65520,22198,128344,92337,212184,111916,371360
17484,65272,22018,128344,92320,211979,111818,371062
17510,65131,22142,128177,92154,211869,111788,371314
17557,65327,22181,128117,92354,212138,111899,371240
17620,65421,22044,128215,92439,212098,111903,371070
17523,65169,22193,127993,92268,211865,111801,371236
17518,65395,22099,128130,92274,211945,111903,371262
17616,65549,22121,128403,92414,212146,111873,371215
17476,65186,22099,128014,92226,211732,111814,371189
17523,65268,22147,128219,92308,211975,111920,371240
17616,65323,22147,128314,92359,212129,111947,371168
17595,65319,22061,128202,92393,211967,111839,371117
17535,65165,22130,128185,92196,211865,111754,371100
17569,65366,22215,128207,92342,211945,111784,370963
17557,65400,22005,128105,92393,211945,111767,371155
