525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
74114,72434,75603,126816,181446,250750,184091,378372
74017,72396,75518,126658,181539,250904,184223,378560
73977,72259,75560,126701,181276,250587,184044,378287
74076,72310,75731,126850,181685,251120,184440,379209
74273,72762,75638,127183,181932,251607,184679,379542
74246,72396,75650,126979,181497,251023,184453,378884
74136,72557,75701,127025,181655,250967,184279,378651
74136,72519,75475,126778,181531,251069,184227,378611
74114,72417,75416,126628,181412,250788,184112,378378
73969,72212,75638,126723,181442,250665,184252,378480
74157,72553,75684,126769,181425,250950,184214,378518
74131,72383,75492,126590,181531,250737,184167,378420
73991,72250,75676,126662,181207,250506,184040,378382
74059,72370,75633,126842,181459,250720,184218,378450
74063,72578,75484,126710,181527,250784,184159,378390
74012,72161,75543,126462,181258,250549,184023,378122
73918,72288,75454,126649,181224,250426,184070,378386
74093,72481,75701,126983,181562,251177,184394,379034
74170,72451,75689,126953,181732,251061,184457,378825
74140,72468,75650,126876,181450,250711,184197,378450
74148,72493,75676,126901,181557,250887,184244,378437
74042,72421,75458,126615,181488,250724,184087,378139
74004,72349,75594,126577,181228,250489,184040,378190
74131,72339,75603,126829,181318,250737,184167,378326
74046,72493,75462,126649,181429,250635,184095,378395
73948,72131,75530,126450,181284,250323,183954,378245
73939,72263,75535,126522,181301,250434,183920,378211
74123,72442,75416,126825,181484,250826,184129,378403
74042,72391,75564,126526,181408,250694,184150,378378
74012,72195,75513,126637,181344,250519,184044,378330
74204,72502,75769,126962,181391,250843,184142,378390
74140,72502,75543,126620,181497,250796,184159,378334
74089,72254,75633,126718,181352,250438,184057,378215
74123,72413,75744,126723,181378,250720,184167,378509
74199,72553,75539,126689,181484,250762,184133,378412
73977,72165,75590,126556,181318,250421,183975,378228
74008,72254,75530,126535,181357,250515,184078,378467
74195,72339,75607,126727,181527,250741,184057,378441
74080,72216,75484,126628,181395,250631,183988,378275
74063,72366,75642,126662,181310,250528,184048,378283
74153,72472,75748,127025,181600,251099,184479,378884
74246,72660,75564,126974,181898,251359,184487,379183
74332,72485,75876,127098,181812,251228,184590,379149
74366,72707,75940,127273,182000,251543,184747,379674
74447,73001,75854,127204,182043,251513,184603,379162
74264,72532,75825,127106,181812,251168,184530,379000
74324,72724,75825,127093,181596,251048,184309,378628
74277,72728,75603,127127,181843,251283,184432,378918
74208,72451,75684,126786,181685,251086,184304,378633
74216,72574,75850,127157,181787,251564,184620,379627
74563,72963,76034,127699,182278,251939,184974,379951
74554,72929,75718,127358,181890,251492,184654,379111
74341,72626,75812,127106,181566,251006,184347,378918
74191,72536,75765,127030,181681,251116,184326,378958
74256,72805,75748,127055,181864,251364,184513,379021
74085,72349,75672,126837,181488,250771,184227,378531
74136,72515,75727,126744,181437,250788,184201,378552
74144,72468,75676,126706,181514,250967,184317,378535
74029,72464,75479,126518,181310,250720,184087,378194
73960,72259,75492,126628,181237,250648,184006,378326
74072,72506,75581,126876,181369,250767,184070,378463
74110,72519,75484,126666,181467,250813,184176,378351
74038,72276,75564,126658,181301,250562,183992,378330
74051,72357,75621,126744,181437,250711,184155,378407
74097,72523,75441,126723,181471,250643,184193,378334
73905,72199,75590,126433,181194,250417,183984,378190
73983,72335,75625,126569,181284,250583,184036,378372
74136,72472,75394,126769,181535,250758,184210,378446
74085,72353,75450,126598,181403,250635,184065,378279
73991,72131,75518,126693,181245,250392,184019,378266
73960,72455,75569,126654,181297,250716,184116,378480
74000,72267,75390,126723,181357,250724,184163,378403
74012,72305,75501,126731,181254,250481,184108,378351
74025,72293,75621,126884,181476,250779,184146,378484
74182,72540,75539,126632,181493,250967,184142,378399
73987,72191,75437,126607,181224,250549,184074,378275
74004,72468,75547,126740,181276,250669,184087,378253
74127,72438,75586,126820,181403,250826,184167,378424
74042,72370,75356,126530,181369,250728,184112,378300
73983,72101,75603,126676,181198,250566,183996,378416
74021,72417,75564,126662,181399,250652,184040,378433
74000,72322,75394,126539,181429,250574,184027,378338
73952,72135,75471,126471,181190,250370,183882,378109
74021,72237,75556,126684,181306,250677,184031,378395
74042,72472,75454,126598,181382,250694,184087,378219
73829,72093,75420,126393,181122,250498,183809,378113
74051,72318,75564,126718,181220,250464,183958,378351
74076,72335,75535,126718,181276,250767,183962,378573
73888,72208,75441,126411,181211,250498,183933,378164
73829,72066,75484,126522,181075,250515,183954,378279
73995,72357,75611,126765,181306,250690,184002,378390
74012,72331,75291,126615,181344,250622,184087,378378
74029,72199,75569,126718,181237,250532,184031,378351
74076,72404,75655,126850,181450,250758,184078,378719
74080,72455,75509,126842,181549,250788,184138,378492
73922,72191,75629,126850,181446,250873,184279,378757
74038,72400,75603,126833,181459,250699,184142,378611
74174,72510,75655,126884,181527,250912,184252,378633
73987,72353,75518,126740,181408,250775,184019,378364
74029,72233,75441,126697,181241,250682,184070,378403
74174,72485,75590,126795,181484,250908,184163,378633
74089,72425,75445,126581,181471,250750,184201,378287
73969,72259,75621,126689,181284,250515,184133,378177
74042,72345,75526,126714,181395,250608,184048,378403
74119,72532,75394,126782,181505,250775,184091,378382
73884,72174,75479,126662,181190,250443,183988,378228
73973,72276,75590,126676,181306,250596,184023,378236
73977,72425,75479,126735,181365,250895,184070,378463
73965,72322,75437,126615,181297,250574,183975,378113
73926,72072,75530,126441,181075,250494,183971,378065
73995,72374,75581,126662,181378,250724,184087,378463
73991,72374,75313,126654,181352,250622,183971,378326
73952,72152,75484,126598,181130,250358,183894,378151
73977,72212,75471,126757,181211,250511,183988,378441
73943,72455,75296,126680,181289,250703,184061,378224
73884,72178,75373,126351,181033,250383,183911,378065
73952,72318,75539,126556,181258,250451,183950,378270
74038,72421,75437,126672,181403,250724,184112,378467
73880,72314,75411,126479,181215,250455,183839,378185
73858,72097,75496,126628,181003,250434,183869,378202
74017,72271,75535,126654,181207,250570,183958,378202
73977,72339,75352,126590,181249,250639,183971,378279
73926,72080,75360,126475,181007,250417,183882,378044
73914,72293,75530,126778,181160,250665,184023,378386
74055,72459,75313,126706,181335,250758,184031,378253
74034,72182,75454,126420,181139,250426,184027,378177
74029,72246,75492,126645,181220,250553,184019,378207
74170,72459,75526,126628,181318,250720,184176,378368
74102,72404,75475,126509,181310,250614,183979,378190
74017,72118,75590,126577,181211,250438,183941,378219
74072,72349,75530,126833,181378,250673,183996,378372
73973,72237,75202,126628,181314,250579,184040,378292
73939,72174,75586,126564,181220,250387,183962,378130
74017,72353,75411,126581,181293,250639,183988,378304
74059,72540,75352,126714,181335,250784,184078,378287
73884,72135,75411,126586,181118,250413,183941,378181
73897,72250,75573,126624,181266,250519,184061,378296
73977,72349,75479,126666,181310,250656,184044,378351
73969,72242,75338,126518,181177,250536,183937,378031
73926,72106,75373,126577,181113,250400,183924,378105
74097,72353,75560,126740,181249,250677,184027,378399
74025,72288,75399,126526,181391,250656,184078,378355
73892,72140,75505,126637,181207,250451,183975,378454
73983,72267,75556,126658,181357,250622,184023,378594
73931,72468,75399,126782,181245,250784,184091,378416
73871,72089,75338,126569,181130,250297,183886,378181
73931,72250,75454,126697,181139,250540,183894,378338
73952,72250,75445,126543,181289,250608,184074,378368
73875,72254,75416,126641,181203,250532,183971,378173
73914,72152,75424,126547,181228,250481,184010,378245
74012,72366,75458,126731,181450,250720,183979,378446
73931,72438,75437,126693,181327,250635,184078,378279
73905,72066,75543,126654,181156,250460,183950,378386
73956,72259,75539,126676,181211,250566,184061,378582
74068,72506,75496,126786,181501,250673,184184,378420
73935,72174,75513,126577,181297,250358,184010,378249
74008,72335,75552,126586,181211,250536,184087,378364
74055,72408,75479,126765,181425,250716,184125,378518
73931,72297,75342,126569,181215,250498,184002,378416
73863,72140,75594,126666,181177,250443,183958,378390
74131,72335,75650,126812,181280,250669,184095,378577
74038,72305,75308,126672,181395,250660,184048,378403
73965,72191,75594,126672,181109,250421,184061,378475
74042,72387,75552,126774,181344,250703,184133,378531
74068,72404,75399,126769,181505,250788,184155,378467
73973,72246,75552,126723,181228,250626,184040,378351
73952,72267,75560,126769,181220,250635,184053,378467
74110,72451,75598,126680,181403,250818,184206,378663
73918,72339,75338,126693,181245,250600,184091,378309
73948,72080,75496,126693,181203,250557,183962,378548
74063,72310,75667,126897,181442,250813,184172,378719
74008,72229,75518,126710,181254,250673,184010,378283
73880,72157,75642,126628,181164,250540,184010,378429
73948,72288,75535,126791,181284,250677,184099,378586
74000,72413,75454,126654,181416,250694,184150,378518
73799,72080,75416,126484,181139,250421,183916,378296
73948,72157,75547,126654,181135,250528,183882,378355
73983,72357,75458,126812,181365,250813,184108,378628
73960,72276,75471,126569,181207,250665,183992,378317
73926,72114,75513,126564,181177,250438,183920,378484
74114,72259,75458,126654,181232,250656,184074,378526
73922,72208,75407,126620,181340,250553,184053,378463
73901,72084,75573,126632,181101,250443,184014,378429
73918,72271,75607,126581,181297,250545,184091,378599
