525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
163838,143247,100126,126649,585550,693850,1.00045e+06,1.01909e+06
164050,143592,100075,126876,586053,694256,1.00051e+06,1.01935e+06
163855,143444,99700,126505,585862,694191,999955,1.01927e+06
163748,143217,100028,126364,584817,693193,999567,1.0182e+06
163936,143256,100054,126560,585238,693939,999738,1.01949e+06
164077,143742,99883,126893,585806,694597,999811,1.01921e+06
163569,143166,99887,126428,585170,693658,1.00006e+06,1.0189e+06
163675,143256,100062,126577,585750,694119,1.00043e+06,1.01904e+06
163876,143584,99994,126714,586040,694682,1.00119e+06,1.02004e+06
163735,143456,99849,126569,585844,694000,1.00074e+06,1.01914e+06
164063,143021,99883,126376,585550,693632,1.00002e+06,1.01906e+06
164090,143414,99734,126803,585528,694694,1.00012e+06,1.01926e+06
163919,143448,99696,126624,585712,694260,1.00062e+06,1.01946e+06
163872,143230,100024,126462,585068,693509,1.00015e+06,1.0184e+06
163957,143350,100088,126581,585528,694311,1.00023e+06,1.0194e+06
163893,143797,99900,126829,586023,694793,1.00049e+06,1.01933e+06
163735,143251,99990,126359,584944,693031,999567,1.01874e+06
163667,143285,100058,126676,585102,694119,999879,1.01867e+06
163800,143575,99939,126662,585772,694575,1.00002e+06,1.01959e+06
163765,143482,99759,126484,585170,693683,999525,1.01902e+06
163667,143077,100088,126535,585255,693351,999764,1.01892e+06
163868,143311,100011,126842,585380,694438,999981,1.0189e+06
164012,143465,99904,126603,585733,693803,999849,1.01926e+06
163595,143145,99935,126471,585081,693769,999904,1.01903e+06
163586,143456,99887,126569,585243,694464,999802,1.01919e+06
163846,143537,99802,126850,585443,694417,999802,1.01883e+06
163646,143315,99764,126488,584722,693909,999840,1.01862e+06
163927,143503,100024,126552,585302,694089,999989,1.01874e+06
163974,143632,99883,126693,585414,694567,1.00014e+06,1.01932e+06
163586,143405,99725,126441,584982,693727,999648,1.01888e+06
163868,143209,100049,126654,585226,694076,1.00006e+06,1.01924e+06
163821,143482,99998,126935,585494,694775,1.00013e+06,1.01954e+06
163923,143563,99827,126615,585499,694400,999989,1.01971e+06
163927,143507,100139,126564,585187,693769,999857,1.01913e+06
164627,143606,100007,126774,585119,694558,1.0001e+06,1.01923e+06
164008,143844,99891,127034,585784,694686,1.00011e+06,1.01995e+06
163548,143435,99918,126458,584760,693714,1.00009e+06,1.01942e+06
163953,143448,100079,126846,585418,694639,999976,1.01939e+06
163982,143776,99986,126842,585541,694823,1.00013e+06,1.02006e+06
163808,143405,99776,126697,585204,694396,1.00012e+06,1.01905e+06
163825,143064,100075,126603,584906,693611,999367,1.01918e+06
163765,143414,99926,126723,584859,694430,999648,1.01916e+06
163855,143359,99717,126552,585162,693867,998799,1.01868e+06
163663,143060,100075,126445,584842,693410,999085,1.01833e+06
163859,143431,99935,126752,584624,694332,999218,1.01903e+06
163812,143615,99819,126876,585277,693966,999542,1.01926e+06
163449,143008,99776,126411,584180,693082,998458,1.01782e+06
163407,143290,99883,126594,584522,693816,998420,1.01915e+06
163885,143644,99857,126774,584539,694349,999751,1.01944e+06
163902,143461,99883,126672,584965,693901,999379,1.01843e+06
163351,143120,99994,126407,584599,693517,999606,1.01863e+06
164141,143512,99986,126752,585111,694413,999589,1.01917e+06
163846,143503,99721,126620,585289,693846,998970,1.01858e+06
163692,143260,99952,126364,584808,693261,999388,1.01857e+06
163743,143418,99960,126684,584731,694110,999013,1.01915e+06
163786,143550,99798,126863,585098,694102,999371,1.01852e+06
163834,143166,99827,126428,584432,693257,998928,1.01818e+06
163368,143166,99887,126658,584415,693607,998134,1.01829e+06
164238,143567,99751,126479,584531,693970,999072,1.01923e+06
163760,143251,99700,126505,584804,693735,998829,1.01819e+06
163817,143115,99947,126556,584743,693517,998611,1.01799e+06
163936,143384,99870,126723,584701,694085,998992,1.01886e+06
164319,143571,99832,126624,585277,694256,999828,1.01888e+06
163735,143205,100100,126496,584885,693590,999866,1.01849e+06
163790,143371,100075,126693,585221,693824,999917,1.01931e+06
164541,143644,99900,127025,585994,694580,1e+06,1.01893e+06
164392,143069,99939,126454,585039,693414,999209,1.01778e+06
164401,143213,99981,126552,584663,693590,999043,1.01852e+06
164354,143350,99935,126535,585363,694127,1.00002e+06,1.01881e+06
164422,143213,99861,126376,584982,693522,999170,1.01745e+06
163889,143052,100049,126522,585047,693564,999013,1.01821e+06
163777,143277,99973,126581,585329,694332,999413,1.01862e+06
163697,143410,99755,126407,585431,693551,999942,1.01843e+06
163739,142936,100003,126342,585012,693141,1.00019e+06,1.01791e+06
164477,143069,100092,126543,585422,693278,1.00051e+06,1.01862e+06
164090,143371,99986,126799,586152,693636,1.00032e+06,1.01822e+06
164350,143073,99956,126177,585102,692920,999546,1.01803e+06
164346,143145,99960,126513,585090,693389,999426,1.01857e+06
164414,143478,99952,126632,585571,694362,999669,1.01881e+06
164346,143285,99730,126424,585111,693312,999265,1.01835e+06
164469,143124,99874,126359,584501,693249,999495,1.01799e+06
164323,143376,99969,126727,585196,693522,999589,1.0188e+06
164375,143524,99798,126620,585661,693799,999597,1.01834e+06
164179,143103,99981,126467,585107,693334,999487,1.01763e+06
164319,143268,99994,126518,585204,693871,999533,1.01882e+06
163773,143529,99844,126710,585375,694417,999401,1.01903e+06
163612,143179,99943,126437,584834,693402,999413,1.01862e+06
164277,143329,100045,126662,585238,693935,999699,1.0186e+06
163709,143588,99918,126786,585797,694631,1.00031e+06,1.01959e+06
164354,143251,99815,126441,585397,693611,999879,1.01846e+06
163889,143052,100092,126475,585115,693137,1.00008e+06,1.01831e+06
163995,143418,100122,126786,585810,694512,1.00029e+06,1.01942e+06
164494,143384,99742,126598,585507,693931,999802,1.01907e+06
164230,143145,100100,126479,585008,693334,999447,1.01841e+06
164217,143333,99926,126624,585012,693983,999618,1.01847e+06
164554,143490,99904,126829,585597,694221,1.00034e+06,1.01881e+06
164350,143243,99960,126338,584999,693133,1.00015e+06,1.01813e+06
164380,143273,100083,126624,585371,693483,1.00006e+06,1.01874e+06
163851,143717,100071,126782,585729,694516,1.00071e+06,1.01874e+06
164452,143329,99819,126556,585682,693471,1.00011e+06,1.01825e+06
164558,143281,100083,126467,585426,693607,999883,1.01847e+06
164490,143495,99943,126598,585358,694243,1.00066e+06,1.01858e+06
164328,143512,99730,126598,585934,693727,1.00073e+06,1.01859e+06
164422,143034,100024,126368,585405,693151,1.00026e+06,1.01797e+06
164243,143175,100096,126611,585648,693406,1.00039e+06,1.01845e+06
164605,143563,100020,126897,586352,693812,1.00111e+06,1.01871e+06
164294,143226,100066,126355,585883,693044,1.00129e+06,1.01797e+06
164507,143145,100139,126535,585691,693454,1.00042e+06,1.01849e+06
164721,143431,100066,126496,586104,694076,1.00064e+06,1.01859e+06
164567,143431,99836,126454,585789,693206,999985,1.01769e+06
164558,143042,100151,126445,585443,693155,999559,1.01773e+06
164490,143281,100122,126581,585704,693983,1.00058e+06,1.01854e+06
163927,143444,99891,126351,585460,693837,1.00028e+06,1.01819e+06
164456,142779,100173,126266,585285,692771,1.0002e+06,1.01821e+06
164460,143247,100199,126645,585913,693939,1.00074e+06,1.01827e+06
163944,143354,99998,126829,586390,694264,1.00076e+06,1.01849e+06
164289,142974,99952,126283,585320,693141,999563,1.01794e+06
164332,143042,100032,126603,585204,693278,1.0001e+06,1.01855e+06
164350,143333,100028,126676,585674,694080,1.00078e+06,1.01868e+06
163885,143393,99853,126552,585699,693756,999913,1.01822e+06
164443,143158,100088,126505,585350,693488,1.00012e+06,1.01797e+06
164507,143410,100083,126901,585653,694362,1.00096e+06,1.01896e+06
164490,143422,99776,126590,586066,693649,1.00053e+06,1.01836e+06
164486,143034,100079,126262,585516,693193,999989,1.01782e+06
164448,143222,100028,126569,585128,693922,999686,1.01884e+06
164251,143537,99832,126735,585725,694260,1.00025e+06,1.01838e+06
164298,143107,99973,126381,585162,693329,1.00031e+06,1.01818e+06
164422,143217,100122,126590,585213,693722,999993,1.01814e+06
164375,143444,99952,126693,585960,694260,1.00105e+06,1.01842e+06
164431,143175,99895,126393,585636,693513,1.00092e+06,1.01796e+06
164511,143086,100143,126484,585554,693329,1.00112e+06,1.0182e+06
164793,143337,100229,126740,586408,693714,1.00085e+06,1.01823e+06
164537,143533,100028,126837,586774,695211,1.00249e+06,1.02194e+06
164452,143166,100168,126697,586045,694840,1.00237e+06,1.02145e+06
164465,143141,100246,126808,586408,695245,1.00292e+06,1.02196e+06
164797,143550,100160,127187,587325,696021,1.00326e+06,1.02314e+06
164524,143175,100229,126778,586625,694802,1.00321e+06,1.02192e+06
164426,143273,100297,126761,586796,695471,1.00276e+06,1.02271e+06
164550,143388,100151,127008,587073,695518,1.00319e+06,1.0227e+06
164460,143115,100049,126666,586574,694669,1.0028e+06,1.02147e+06
164605,143145,100212,126778,586455,694823,1.00207e+06,1.02151e+06
164670,143507,100314,127013,587022,695757,1.00328e+06,1.02293e+06
164609,143418,100041,126820,587128,695360,1.0026e+06,1.02258e+06
164486,143196,100267,126706,586595,694806,1.00272e+06,1.02215e+06
164567,143354,100301,126962,586834,695407,1.00254e+06,1.02271e+06
164562,143742,100092,127136,587030,695676,1.00288e+06,1.02256e+06
164251,143060,100156,126676,586565,694737,1.00265e+06,1.02199e+06
164397,143273,100225,126786,586224,695236,1.00249e+06,1.02204e+06
164281,143448,100092,127017,586698,695676,1.00267e+06,1.02234e+06
164358,143315,99981,126710,586254,695339,1.00233e+06,1.02156e+06
164306,143069,100139,126590,586019,694311,1.00246e+06,1.02134e+06
164601,143290,100339,126846,586565,695373,1.00271e+06,1.02218e+06
164456,143342,99960,126586,586855,695044,1.00242e+06,1.02209e+06
164397,142889,100284,126615,586250,694673,1.00234e+06,1.02159e+06
164392,143012,100164,126620,586364,695172,1.00266e+06,1.0218e+06
164670,143158,100020,126778,586910,694993,1.00279e+06,1.02227e+06
164336,142808,100156,126492,586493,694119,1.00299e+06,1.02092e+06
164528,142769,100412,126757,586859,694797,1.0031e+06,1.02178e+06
164575,143200,100271,126782,587303,695356,1.00331e+06,1.0221e+06
164448,142957,100011,126598,586889,694153,1.0031e+06,1.02123e+06
164354,142813,100314,126509,586800,694563,1.00261e+06,1.02155e+06
164346,143137,100191,126846,586808,695117,1.00251e+06,1.02176e+06
164520,143350,100015,126803,586919,694984,1.00284e+06,1.02244e+06
164456,142970,100168,126603,586224,694358,1.00267e+06,1.02167e+06
164380,143094,100242,126723,586237,695070,1.00238e+06,1.02229e+06
164435,143405,100058,126987,587009,695390,1.00237e+06,1.02212e+06
164426,142957,100062,126479,586087,694455,1.0018e+06,1.02111e+06
164243,143111,100177,126812,585755,694711,1.0019e+06,1.02158e+06
164448,143342,100195,126833,586642,695646,1.00247e+06,1.02287e+06
164132,143060,99990,126731,586131,694409,1.00156e+06,1.02152e+06
164260,142881,100164,126475,585431,694358,1.00166e+06,1.02185e+06
164435,143380,100164,126987,586677,695556,1.0024e+06,1.02255e+06
164503,143268,99908,126782,586394,695079,1.00177e+06,1.02231e+06
164289,142961,100220,126632,585972,694652,1.00161e+06,1.02181e+06
164328,143226,100181,126820,585883,695151,1.00209e+06,1.02219e+06
163970,143367,100122,127059,586489,695539,1.00173e+06,1.02243e+06
164141,142868,100032,126424,585844,694584,1.00136e+06,1.02155e+06
164085,143217,100015,126820,585981,695223,1.00162e+06,1.02235e+06
164401,143273,100105,126979,586442,695467,1.00223e+06,1.02229e+06
164323,143179,99994,126672,586373,694827,1.00179e+06,1.02191e+06
164294,143046,100203,126744,585977,694669,1.00163e+06,1.02175e+06
164315,143319,100054,126914,586032,695126,1.00137e+06,1.02172e+06
164141,143294,99823,126654,586301,694946,1.00197e+06,1.02219e+06
164179,143132,100079,126658,585797,694789,1.0015e+06,1.02195e+06
164251,143256,100122,126901,586381,695650,1.00179e+06,1.02225e+06
164354,143588,100032,127059,586599,695411,1.00185e+06,1.02241e+06
164132,143200,99977,126573,585589,694707,1.00168e+06,1.02124e+06
164319,143175,100168,126901,585593,694984,1.00179e+06,1.02195e+06
164465,143571,100160,126850,586531,695458,1.00188e+06,1.02252e+06
164354,143222,99952,126778,586083,695044,1.00191e+06,1.02145e+06
164414,143042,100160,126735,585989,694609,1.00224e+06,1.02201e+06
164443,143260,100195,126842,586932,695629,1.00297e+06,1.02276e+06
164670,143422,100088,126859,587081,695484,1.00281e+06,1.0226e+06
164358,143086,100220,126615,586087,694524,1.00212e+06,1.02178e+06
164494,143380,100280,126897,586510,695556,1.0028e+06,1.02286e+06
164162,143602,100156,127247,587035,695991,1.00269e+06,1.02274e+06
164183,142949,100105,126437,585729,695023,1.00164e+06,1.02146e+06
164448,143052,100250,126854,586070,695164,1.00256e+06,1.02211e+06
164435,143285,100225,126888,586800,695458,1.00266e+06,1.02257e+06
164431,143038,100062,126645,586459,694643,1.00273e+06,1.02167e+06
163885,143038,100305,126535,586002,694793,1.00256e+06,1.02195e+06
164332,143196,100105,126884,587098,695701,1.00268e+06,1.02251e+06
164405,143230,99823,126735,586791,695160,1.0018e+06,1.02198e+06
164251,142864,100160,126454,585640,694472,1.00115e+06,1.02168e+06
164136,143158,100130,126693,585904,695365,1.00215e+06,1.02207e+06
164431,143452,100100,127136,586732,695655,1.00214e+06,1.02239e+06
164016,143073,99759,126603,586152,694580,1.00192e+06,1.02177e+06
164306,142995,99956,126782,586028,695155,1.00198e+06,1.02146e+06
164302,143431,100160,126987,586599,695684,1.00239e+06,1.02222e+06
164302,142953,99918,126799,586156,694836,1.00223e+06,1.0218e+06
164448,142949,100173,126740,585960,694874,1.00185e+06,1.02189e+06
164418,143401,100229,126769,586770,695479,1.00201e+06,1.02247e+06
164315,143319,99922,126791,585972,695317,1.00182e+06,1.02192e+06
164234,142957,99981,126723,586148,694895,1.00157e+06,1.02151e+06
164494,143132,99994,126893,586087,695018,1.00196e+06,1.02215e+06
164371,143346,99956,127068,586347,695710,1.0016e+06,1.02264e+06
164251,143042,100011,126714,585862,694823,1.00174e+06,1.02204e+06
164187,143222,100199,126974,585733,695433,1.00127e+06,1.02238e+06
164426,143414,99986,127034,585917,696025,1.00168e+06,1.02283e+06
163646,143209,99874,126632,586125,695266,1.00161e+06,1.02176e+06
163705,143042,100058,126769,585200,694861,1.00106e+06,1.02168e+06
164302,143410,99930,126901,586318,695407,1.00178e+06,1.02234e+06
164562,143337,99730,126935,586224,695672,1.00182e+06,1.02139e+06
164234,142974,100203,126611,585793,694485,1.00188e+06,1.02124e+06
164128,143179,100079,126808,586386,694967,1.00183e+06,1.02135e+06
164346,143410,100045,127076,586787,695215,1.00149e+06,1.02214e+06
164375,142949,100066,126586,585943,694336,1.00176e+06,1.02154e+06
164315,143056,100130,126740,585750,694716,1.00194e+06,1.0216e+06
163846,143414,100088,126880,586152,695164,1.00212e+06,1.02225e+06
163855,143124,99977,126820,586381,694404,1.00213e+06,1.02131e+06
163808,142910,100250,126774,586152,694434,1.00209e+06,1.02106e+06
164533,143188,100216,126935,586642,695291,1.00165e+06,1.02171e+06
163914,143268,99806,126757,586148,694819,1.00195e+06,1.02166e+06
163940,142830,100160,126680,585875,694502,1.00138e+06,1.02142e+06
163834,143222,100083,126752,586131,695126,1.00144e+06,1.02147e+06
164380,143285,100007,127102,586352,695467,1.00207e+06,1.02175e+06
163773,143000,100003,126484,585934,694601,1.00204e+06,1.0211e+06
164021,143141,100220,126765,586045,694512,1.00153e+06,1.0214e+06
164482,143499,99986,126820,586408,695467,1.00185e+06,1.01841e+06
163765,143008,99844,126560,585533,693227,1.00001e+06,1.01833e+06
164277,142893,100058,126496,584646,693120,999550,1.01844e+06
164524,143350,99977,126624,585729,694294,1.00009e+06,1.01846e+06
164380,143307,99670,126632,585631,694413,1.00064e+06,1.01866e+06
164358,142872,100066,126385,585350,693164,999985,1.01809e+06
164418,143226,100079,126666,585772,694136,1.00002e+06,1.01857e+06
