525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
74762,-256053,42681,-354803,240401,-419385,405310,-435312
76994,-260806,42681,-355537,245985,-419385,406163,-437035
74762,-264304,42681,-352862,243869,-419385,413202,-433564
74571,-259675,42681,-352653,238968,-419385,410207,-435333
74762,-260097,42681,-355639,241715,-419385,404717,-433473
76994,-264687,42681,-354837,245482,-419385,409252,-437261
76639,-261569,42681,-351254,241493,-419385,410160,-430317
78086,-263258,44584,-355882,242850,-419385,407703,-435214
77813,-263199,42681,-355084,244949,-419385,409631,-434838
71440,-263032,42685,-351152,248600,-419385,410319,-433687
74762,-260861,44144,-355417,244701,-419385,412425,-436349
74762,-265335,42681,-356159,241677,-419385,410224,-436728
76994,-264751,44937,-352585,246484,-419385,409435,-438114
74000,-260954,42758,-354282,242214,-419385,414243,-437104
78086,-263565,44396,-355992,243588,-419385,413001,-436459
76994,-264099,46712,-354572,249973,-419385,415373,-433473
74000,-258076,42681,-351787,245012,-419385,411913,-437005
75325,-261407,42681,-355016,244659,-419385,410220,-431921
74762,-264435,46712,-355746,248527,-419385,413487,-440086
74000,-264572,44749,-353314,251368,-419385,417451,-437014
76639,-265131,46712,-356142,247994,-419385,413270,-436903
74762,-260575,44396,-354095,249010,-419385,409648,-433909
74762,-262268,44878,-351681,255664,-419385,415531,-433606
73048,-261083,44442,-354108,248732,-419385,415262,-436072
78086,-260677,44396,-353848,246445,-419385,406872,-435162
74000,-262444,44396,-351723,247350,-419385,409900,-435393
73048,-260374,44852,-351979,251778,-419385,413850,-433644
74000,-258848,44442,-354658,247580,-419385,410916,-432745
74571,-262239,44442,-354696,247410,-419385,410438,-439706
77813,-257866,44417,-351676,250690,-419385,413760,-435875
74000,-257496,44442,-355025,252985,-419385,413786,-435372
74762,-261271,44503,-354568,248216,-419385,417446,-437769
78086,-260063,44442,-351198,247290,-419385,413585,-437113
78086,-262012,44442,-353886,249308,-419385,418474,-436379
76994,-258293,44442,-355187,253373,-419385,416814,-437087
74762,-263233,44442,-352726,249734,-419385,412907,-438055
75621,-266133,44442,-350328,245379,-419385,417032,-437863
76639,-269968,46712,-355907,249795,-419385,412822,-436942
76639,-266607,44379,-356807,257651,-419385,416137,-438025
74000,-267511,44396,-352674,252443,-419385,418794,-437769
75360,-265003,44442,-354385,250221,-419385,417365,-434544
77813,-266773,53371,-356087,251406,-419385,417459,-437466
76994,-267302,44417,-352764,253100,-419385,417442,-438025
71560,-263070,46712,-354462,256632,-419385,418683,-438192
76639,-267238,44442,-355630,254345,-419385,417429,-437079
76815,-266444,44442,-351992,249692,-419385,413595,-436814
76815,-266073,44442,-350584,252119,-419385,412950,-435913
74762,-259671,46712,-352716,256883,-419385,418683,-435137
76639,-263390,44442,-354368,254777,-419385,418674,-437044
71512,-267895,44442,-351408,259119,-419385,419383,-433606
76815,-270310,46891,-355899,257310,-419385,411094,-435977
76815,-271802,44417,-356458,259054,-419385,416268,-435714
76994,-270092,44442,-352585,259882,-419385,418679,-433257
74000,-266005,44442,-353071,255736,-419385,415117,-437035
78086,-266713,46891,-355507,256555,-419385,413500,-435261
78086,-271068,44417,-355353,254627,-419385,413261,-436878
76815,-264520,44442,-350618,257208,-419385,415318,-436157
76815,-264555,44417,-355408,257741,-419385,418623,-437782
74000,-265339,44442,-356415,259251,-419385,419379,-437769
76639,-268833,44442,-352610,259008,-419385,417429,-436533
76815,-263672,44186,-353387,252396,-419385,417263,-436728
76639,-265959,46712,-356470,262626,-419385,415569,-439032
71560,-275432,46584,-353967,263470,-419385,419383,-438746
73240,-254923,44148,-350064,250477,-419385,409755,-433644
73048,-265331,44148,-354841,254601,-419385,414886,-438503
74000,-266312,46712,-352943,252434,-419385,413227,-436844
73048,-262776,44442,-350294,257156,-419385,418623,-436101
73048,-262465,44396,-354005,256393,-419385,413828,-436925
75621,-266133,44442,-354337,254422,-419385,413513,-438677
76815,-269298,46584,-351539,257212,-419385,410148,-439928
76639,-265331,44396,-353600,257276,-419385,418683,-435918
74000,-268399,44442,-356317,263602,-419385,418683,-437534
76639,-275245,44468,-352610,260885,-419385,419383,-442368
73679,-279651,46584,-355643,269075,-419385,419383,-447043
76639,-274067,51839,-356168,259191,-419385,419383,-441685
70322,-279408,43943,-356415,264732,-419385,419383,-446838
73935,-279514,42783,-354346,269066,-419385,419383,-449986
74669,-284142,45257,-359162,269267,-419385,419383,-452276
75198,-283340,42783,-358441,270287,-419385,419383,-454388
71879,-231804,42783,-341750,242743,-419385,398464,-436844
70322,-251814,42783,-349040,248711,-419385,407917,-435248
71691,-255278,44468,-350913,245738,-419385,409900,-436681
73240,-255585,45261,-348801,250050,-419385,407320,-438904
74434,-255904,44937,-349825,250076,-419385,410830,-438196
74000,-252279,44442,-353630,253416,-419385,411957,-430544
73048,-261654,44442,-353848,253979,-419385,413714,-437117
78086,-260200,44442,-350576,249812,-419385,416469,-436686
74762,-257094,46665,-354133,252098,-419385,415271,-431831
74762,-259961,44442,-355446,259699,-419385,418623,-433482
75850,-261151,44417,-350572,250788,-419385,413253,-436647
78086,-254705,44417,-354377,254703,-419385,413419,-432701
78086,-258997,44417,-353472,256495,-419385,415441,-437765
78086,-259619,46226,-352081,257374,-419385,419328,-438055
78086,-261232,44417,-352546,254017,-419385,417429,-435401
78086,-255136,46469,-354316,251842,-419385,414247,-435214
78086,-257218,44417,-352862,256508,-419385,415625,-434736
74571,-256250,44379,-350102,256637,-419385,419340,-431900
78857,-258233,44417,-354530,253437,-419385,413500,-435731
78086,-260878,46597,-354610,254367,-419385,413334,-434459
78086,-262137,46597,-351514,255096,-419385,418683,-431835
78269,-254953,44417,-354342,256705,-419385,412715,-435124
78086,-254159,46145,-354108,251372,-419385,417425,-431861
78086,-261629,44417,-350481,250579,-419385,413603,-436042
78086,-257743,44417,-351032,253006,-419385,418679,-436332
78956,-259568,44442,-355169,259136,-419385,419379,-431985
78086,-258566,44417,-354005,255327,-419385,417343,-437035
79502,-262490,44417,-351463,251398,-419385,417161,-435333
78086,-254215,46597,-354470,253484,-419385,418623,-431921
75325,-254385,44417,-355179,254768,-419385,417510,-438017
75850,-257811,44442,-352525,258513,-419385,418133,-436353
78086,-257388,46597,-354769,250950,-419385,412622,-435154
78857,-254834,46597,-353835,254699,-419385,419383,-436046
78086,-262887,44417,-350934,254145,-419385,416397,-431900
74571,-257265,46712,-351391,257007,-419385,413599,-431921
79502,-259227,44417,-356117,249795,-419385,413244,-436783
78086,-259172,44417,-354346,247785,-419385,416268,-432446
76815,-258340,44417,-350439,255668,-419385,418615,-428658
76038,-255490,44379,-354521,251816,-419385,413607,-431985
78086,-259206,44417,-354722,246437,-419385,413146,-433866
