525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
235718,161752,154466,155720,650891,687937,1.2671e+06,785715
235453,161671,154423,156202,650051,685643,1.26708e+06,782972
235406,161389,154372,155690,650072,686902,1.26717e+06,783624
235564,161735,154530,155980,650665,690565,1.26671e+06,790458
235585,162729,154347,157439,650217,686995,1.2662e+06,785322
235466,161624,154512,156624,649632,687985,1.26643e+06,786619
235517,162127,154518,156872,650379,687387,1.26672e+06,786486
235517,162213,154296,156446,650515,689495,1.26672e+06,787732
235500,162071,154415,156983,649999,685698,1.26583e+06,784341
235525,161764,154522,156262,650127,687784,1.26746e+06,790364
235423,162946,154419,157857,650515,685059,1.26695e+06,783193
235432,161125,154317,155856,649918,685630,1.26686e+06,785104
235385,161718,154436,156381,650013,691308,1.26628e+06,795526
235436,163624,154440,159163,649948,695130,1.26726e+06,793973
235360,162975,154205,158876,649791,695240,1.26564e+06,794720
235218,163074,154461,158920,649518,694516,1.26593e+06,792331
235377,163027,154453,159090,650127,695680,1.26568e+06,794233
235411,163411,154188,158979,650149,694626,1.26627e+06,792731
235099,162494,154466,158825,649624,695075,1.26529e+06,795103
235278,163441,154512,159282,649705,695386,1.26601e+06,794117
235343,163513,154266,159585,650276,697228,1.26582e+06,796221
235201,163083,154239,159227,649453,696529,1.26616e+06,795922
235299,163402,154444,159665,649569,695501,1.26649e+06,794771
235338,163500,154415,159231,650085,695650,1.26572e+06,794676
235320,163231,154270,158484,649744,695594,1.26577e+06,795086
235150,163231,154466,159636,649467,697075,1.26534e+06,798034
235343,164050,154487,160327,649969,696366,1.26642e+06,794860
235343,163517,154201,159060,650047,695594,1.26583e+06,795692
235261,163210,154474,159392,649198,695308,1.26527e+06,794284
235206,163236,154478,159085,649518,696721,1.2662e+06,796426
235406,163817,154406,160058,650332,697532,1.26597e+06,796716
235308,163266,154270,159785,649603,698521,1.26579e+06,798392
235282,163880,154518,160391,649679,695266,1.26625e+06,793384
235326,163368,154406,158757,650127,694336,1.26631e+06,792680
235244,162861,154245,158565,650025,693181,1.26611e+06,791755
235240,162647,154419,158309,649393,692276,1.26641e+06,791575
235372,163083,154586,158846,650007,695526,1.26707e+06,794621
235440,163475,154274,158928,650280,697058,1.26619e+06,795812
235159,163083,154512,159606,649398,696358,1.26549e+06,795568
235218,163453,154372,159623,649778,694068,1.26642e+06,792215
235381,163159,154453,158599,650627,694631,1.26668e+06,793209
235330,162890,154389,158582,649752,692195,1.26648e+06,792109
235377,162754,154552,158642,649607,695215,1.26647e+06,794481
235504,163513,154444,159508,650034,695655,1.26732e+06,794638
235394,163288,154338,159163,650238,697049,1.26659e+06,797944
235343,163688,154338,160160,649637,693918,1.26599e+06,791537
235355,162946,154308,158778,650170,695543,1.26724e+06,794386
235316,163453,154296,158983,650157,695138,1.26628e+06,793861
235303,162861,154385,158924,649982,694690,1.26596e+06,794557
235334,163317,154453,159589,649705,695365,1.26642e+06,794386
235377,163360,154385,159337,650153,696409,1.26611e+06,794762
235206,162882,154351,159329,649475,695513,1.26569e+06,794642
235235,163180,154444,159227,649825,693466,1.26597e+06,792322
235411,163134,154518,158736,650225,694277,1.26628e+06,792011
235343,162716,154330,158101,649973,693278,1.26606e+06,791990
235282,162562,154478,158668,649334,694102,1.26667e+06,792792
235394,163163,154539,158920,650383,695621,1.26642e+06,794659
235377,163449,154108,158693,650229,698836,1.2658e+06,797922
235125,163569,154470,159811,649539,694767,1.26548e+06,794028
235286,163326,154474,159145,649829,693581,1.26618e+06,792932
235534,163334,154432,159193,650507,692967,1.26661e+06,792693
235343,162690,154423,158412,649897,693748,1.26584e+06,793158
235303,163040,154573,158876,649641,694396,1.26653e+06,792211
235470,163049,154487,158954,650320,696358,1.26678e+06,794267
235269,163015,154270,158177,650337,697318,1.26633e+06,796596
235009,163385,154385,159644,649142,697301,1.26611e+06,796720
235257,163760,154483,159896,650140,694823,1.26579e+06,792570
235381,163134,154120,158744,649927,694055,1.26605e+06,794045
235244,163027,154466,158979,649564,695552,1.26583e+06,796229
235257,163629,154313,159849,649799,697215,1.26613e+06,796891
235445,163995,154317,159883,650286,693052,1.2661e+06,792263
235282,162622,154274,157828,649795,693385,1.26527e+06,792612
235240,162873,154308,158437,649671,693897,1.26618e+06,792932
235398,163227,154402,159188,650195,694165,1.26675e+06,791554
235415,162716,154317,158467,650332,693983,1.2668e+06,793478
235206,162941,154474,158719,649581,696307,1.26603e+06,796383
235440,163846,154495,160353,649910,694170,1.26634e+06,791844
235398,163163,154266,157669,650388,693543,1.26718e+06,792710
235303,162698,154581,158215,649432,693449,1.26668e+06,790598
235394,162524,154487,157993,649973,694392,1.26663e+06,793167
235368,163206,154381,159517,650473,695710,1.26622e+06,793469
235269,162907,154487,158322,649961,692830,1.26625e+06,791507
235240,162685,154487,158539,649560,693039,1.26657e+06,791601
235517,163006,154500,158300,650477,694302,1.26744e+06,793593
235394,163172,154193,158774,650426,696508,1.26633e+06,795696
235235,163428,154385,159444,649649,694643,1.26587e+06,793738
235231,163266,154457,159119,650191,693428,1.26657e+06,793008
235334,163279,154266,158607,650354,693710,1.26636e+06,792786
235240,162780,154355,158446,649615,692566,1.26553e+06,792045
235278,162839,154440,158309,649628,694165,1.26695e+06,792570
235432,163262,154423,159111,650183,697668,1.26603e+06,795146
235312,163159,154368,159085,649837,693151,1.26525e+06,790881
235163,162583,154321,158698,649717,694959,1.26549e+06,793461
235377,163227,154483,158689,650234,695010,1.26647e+06,793281
235320,162924,154283,158625,650098,694451,1.26524e+06,794024
235252,162985,154474,158941,649501,696840,1.26542e+06,797748
235381,164042,154543,160131,650007,693697,1.26599e+06,792625
235415,163288,154078,159005,650358,692937,1.26613e+06,792066
235389,162677,154522,158152,649666,691299,1.26608e+06,789609
235360,162395,154526,158590,649944,694097,1.26643e+06,793776
235449,163317,154368,159124,650358,694110,1.26619e+06,793184
235351,162848,154334,158510,650003,693727,1.26557e+06,793628
235278,163053,154530,159316,649556,695031,1.26633e+06,794621
235436,163513,154478,159222,650337,699519,1.2659e+06,799245
235381,164050,154313,160182,650280,695001,1.26574e+06,793768
235303,162899,154406,158655,649496,692455,1.26582e+06,791409
235389,162827,154461,158812,650272,693376,1.26619e+06,792390
235449,163176,154287,158463,650400,693577,1.26638e+06,792765
235278,162733,154410,158186,649786,694093,1.26607e+06,793431
235326,163146,154474,159034,649914,696798,1.26566e+06,796178
235389,163769,154470,159449,650413,694775,1.26658e+06,793956
235457,163066,154432,158992,649556,693278,1.26619e+06,792898
235227,162985,154483,159073,649688,694489,1.26544e+06,794297
235466,163385,154406,159367,650272,696925,1.26612e+06,795239
235227,163449,154398,158966,650123,694336,1.26621e+06,793670
235214,162839,154347,158539,649321,694161,1.26592e+06,792608
235338,163070,154500,158825,649965,695317,1.26615e+06,794191
235411,163504,154222,159303,650170,695266,1.26586e+06,794122
235261,162993,154436,158766,649594,693219,1.26602e+06,791469
235360,162742,154508,159102,649969,693560,1.26598e+06,791260
235381,162929,154381,158484,650315,697134,1.26666e+06,796669
235210,163411,154279,159982,649740,697003,1.26553e+06,795692
235295,163351,154535,159432,649573,693978,1.26616e+06,792940
235428,163240,154461,159000,650195,693227,1.26696e+06,792223
235316,162912,154291,158698,650417,693624,1.26652e+06,791495
235351,162494,154389,158326,649740,694000,1.26636e+06,794276
235351,163231,154586,159077,649952,694225,1.26719e+06,793469
235398,163394,154385,159022,650191,694358,1.26684e+06,792604
235343,162664,154522,158638,649786,693372,1.26576e+06,793623
235244,163146,154522,159426,650102,697659,1.26627e+06,796904
235377,163880,154415,159695,650605,694831,1.26672e+06,793704
235295,163027,154449,158032,649795,693376,1.26558e+06,792198
235295,162767,154487,158821,649986,693325,1.26645e+06,793145
235474,163330,154457,158992,650286,693966,1.26683e+06,792638
235479,162985,154347,158548,650601,693615,1.26649e+06,791230
235193,162425,154457,158164,649666,693846,1.26617e+06,792872
235411,163155,154586,159111,650272,696000,1.26686e+06,795218
235415,163782,154330,159525,650439,697851,1.26688e+06,797467
235265,163475,154560,159909,649679,693274,1.26583e+06,794305
235330,163360,154577,159222,650110,693560,1.26652e+06,792479
235398,162993,154402,158535,650422,695684,1.26662e+06,793059
235419,162924,154423,158886,650030,695829,1.26618e+06,795231
235193,163339,154453,159648,649880,696614,1.26632e+06,795209
235457,163624,154461,159440,650187,693437,1.26625e+06,792697
235303,162989,154368,158361,650392,694925,1.26693e+06,794416
235360,162993,154518,159145,649488,693027,1.26653e+06,791677
235299,162937,154573,158829,650034,695403,1.26671e+06,793725
235419,163453,154188,158698,650553,696222,1.26689e+06,796003
235343,163193,154364,159239,649918,697390,1.26616e+06,796131
235265,163513,154470,159602,649876,692549,1.26613e+06,790441
235381,162784,154419,158476,650576,693863,1.26641e+06,792642
235278,162946,154338,158352,649969,694021,1.26643e+06,793150
235377,163044,154569,159068,650149,694588,1.26641e+06,793802
235389,163428,154334,159039,650017,694972,1.2661e+06,794134
235402,162998,154372,159149,650102,694533,1.26672e+06,793580
235274,162839,154457,158954,649484,693658,1.26611e+06,794549
235415,163428,154539,159644,649918,696021,1.26698e+06,795888
235406,163760,154364,159640,650174,698294,1.26683e+06,796481
235218,163151,154406,159504,649757,693897,1.26595e+06,793315
235278,162933,154556,158983,649918,693505,1.26587e+06,791861
235343,163015,154364,158702,650388,694136,1.26693e+06,792523
235235,162814,154372,158207,649876,693044,1.2663e+06,791994
235295,162681,154487,158365,649914,693765,1.26608e+06,792471
235360,163053,154423,158800,650332,696580,1.26654e+06,794890
235377,163125,154266,159119,650405,695496,1.26704e+06,793418
235248,162963,154487,158647,649705,692523,1.26708e+06,792407
235436,163036,154611,158851,650303,694861,1.26634e+06,794203
235252,163527,154291,159149,650477,695075,1.26692e+06,792983
235227,162583,154474,158736,649496,693270,1.26635e+06,793017
235487,163061,154539,158898,650208,693090,1.26655e+06,792394
235330,163121,154338,158685,650315,694400,1.26702e+06,792872
235261,162886,154313,158459,650170,693675,1.26655e+06,792860
235343,162780,154535,158698,650127,695202,1.26636e+06,793346
235440,163254,154491,158894,650409,696064,1.26728e+06,794651
235252,163210,154249,158625,650303,695803,1.26654e+06,794100
235218,162912,154457,159176,649700,698487,1.26596e+06,798720
235320,164046,154500,160536,649965,696192,1.26594e+06,795120
235291,163620,154342,159358,650426,694362,1.26625e+06,793311
235155,162690,154419,158706,649730,691742,1.26694e+06,789537
235330,162452,154556,157699,650144,693010,1.2665e+06,790858
235432,162827,154457,158416,650707,693454,1.26715e+06,792769
235347,162882,154347,158271,649850,692387,1.26636e+06,790564
235252,162387,154512,158181,649893,693602,1.26672e+06,793645
235364,163334,154432,159163,650294,695407,1.26667e+06,794161
235338,163172,154330,158958,650294,692903,1.26719e+06,791068
235381,162532,154590,158156,649594,692459,1.26663e+06,791959
235343,163078,154573,158348,650200,693914,1.26689e+06,791717
235551,163151,154334,158804,650536,694396,1.26666e+06,794339
235274,162941,154522,158863,649505,693926,1.26644e+06,793461
235432,163108,154543,158446,650098,696188,1.26615e+06,793623
235394,163394,154453,159529,650498,695343,1.26683e+06,795427
235351,163368,154338,158975,649931,694767,1.26562e+06,793030
235231,162920,154355,158659,649573,693710,1.26606e+06,793584
235423,163326,154406,159286,650286,696064,1.26675e+06,795346
