525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
224669,138538,157686,138913,635517,604422,1.24241e+06,648847
224520,138747,157682,139046,636298,605296,1.24228e+06,649291
224656,138900,157503,138798,636537,604741,1.24293e+06,649569
224559,138713,157511,138978,635953,604737,1.2429e+06,649215
224857,138871,157891,139234,636388,604972,1.24081e+06,649620
224793,139084,157635,139349,636465,605991,1.24243e+06,649688
224725,138653,157597,138922,635987,604515,1.24134e+06,649061
224644,138764,157776,139088,636025,604780,1.24183e+06,649581
224776,139003,157699,139059,636494,605419,1.24524e+06,649935
224683,138888,157515,139016,636315,605002,1.24282e+06,649245
224713,138666,157623,138947,635885,604733,1.24149e+06,649159
224810,139020,157623,138982,636473,605099,1.24232e+06,649249
224747,138999,157538,139012,636601,605300,1.24222e+06,649364
224576,138623,157742,138905,635880,604699,1.24263e+06,648818
224717,138709,157542,138917,636055,604767,1.24314e+06,649095
224700,138892,157469,139050,636648,605565,1.24398e+06,649125
224627,138564,157546,138807,635756,604464,1.2422e+06,648805
224580,138678,157733,139016,635851,604741,1.24421e+06,649006
224597,138888,157490,139025,636332,605036,1.24158e+06,649488
224516,138640,157503,138828,636550,604843,1.24236e+06,648925
224584,138415,157763,138760,635842,604272,1.24333e+06,648771
224614,138824,157661,139080,636490,605172,1.24236e+06,649296
224789,138951,157572,138888,636657,604920,1.24094e+06,648959
224673,138487,157627,138752,636025,604319,1.24032e+06,648686
224597,138696,157802,139008,636132,604617,1.24383e+06,649279
224934,139080,157589,139152,636772,604976,1.24465e+06,649035
224584,138462,157593,138922,635897,604080,1.24371e+06,648621
224696,138538,157780,138883,636170,604630,1.24369e+06,648826
224768,138845,157733,139059,636562,605002,1.24174e+06,649436
224759,138794,157460,138845,636452,604703,1.24164e+06,649006
224810,138747,157836,138798,636063,604225,1.24206e+06,649048
224759,138883,157870,138991,636357,605287,1.24118e+06,649419
224861,138926,157477,138913,636533,604907,1.24433e+06,648946
224656,138312,157771,138684,636243,604319,1.24234e+06,648963
224742,138674,157614,139093,636579,604985,1.24445e+06,649082
224738,138730,157703,138905,636691,604958,1.2444e+06,649240
224730,138436,157623,138718,636119,604238,1.24253e+06,648813
224683,138363,157606,138879,636380,604515,1.24169e+06,648972
224870,139012,157836,139054,636554,604737,1.24266e+06,649321
224708,138769,157572,138769,636644,604750,1.24113e+06,649133
224793,138661,157891,138773,636340,604579,1.24231e+06,649006
224738,138756,157798,138871,636601,605172,1.24461e+06,649624
224832,139012,157576,138888,636865,604907,1.24336e+06,649526
224687,138401,157798,138905,635914,604012,1.24118e+06,648856
224874,138602,157661,138995,636264,604587,1.24327e+06,649518
224810,138909,157729,139076,637023,605445,1.24348e+06,649842
224798,138666,157597,138896,636384,604553,1.24334e+06,649159
224683,138483,157784,138871,636141,604843,1.24421e+06,649530
224986,139003,157669,139161,636972,605258,1.24306e+06,650183
224708,138883,157525,138991,636605,605010,1.24515e+06,649598
224789,138615,157811,138815,636349,604575,1.24376e+06,649351
224717,138837,157832,138961,636323,605082,1.24361e+06,649791
224844,139046,157601,138879,636848,604928,1.24372e+06,649228
224665,138466,157635,138666,635846,604166,1.24303e+06,649150
224721,138722,157802,138900,636298,604519,1.243e+06,649564
224673,138883,157652,139067,636682,605146,1.24222e+06,649692
224691,138504,157627,138794,636571,604494,1.242e+06,649057
224717,138346,157559,138879,635965,604890,1.24366e+06,649603
224806,138871,157754,139165,636947,605526,1.24153e+06,649876
224840,138713,157576,138777,636636,605321,1.24436e+06,649543
224977,138644,157819,138917,636349,604797,1.24392e+06,649569
224912,138832,157720,139135,636524,605044,1.24545e+06,649905
224952,138832,157657,138892,637045,605402,1.24458e+06,649952
224798,138649,157853,138957,636477,604587,1.24434e+06,649547
225028,139050,157976,139234,636746,605070,1.24359e+06,649820
224929,138892,157754,139071,637147,605671,1.2446e+06,650119
224973,138709,157644,138862,636289,604575,1.24209e+06,649232
224952,138666,157917,139050,636499,604945,1.24421e+06,649603
224973,138854,157900,139063,636895,605351,1.24347e+06,650229
224942,139063,157648,138947,637006,604685,1.24436e+06,649457
225028,138670,157879,138900,636209,604439,1.24529e+06,649419
224883,138892,157836,139255,636801,605258,1.24342e+06,650110
225092,139161,157686,138961,636926,605436,1.24543e+06,649778
224870,138585,157828,138922,636209,604886,1.24417e+06,649543
224853,138896,157750,139152,636524,604809,1.24258e+06,649965
225276,139152,157784,139156,637203,605565,1.2453e+06,649816
225041,138670,157815,138773,636622,605078,1.24432e+06,649471
225028,138606,157942,139016,636414,605296,1.24273e+06,649782
225083,139012,157908,139084,636750,605508,1.24371e+06,650286
224891,138718,157542,138854,636844,605138,1.24318e+06,649734
224960,138798,157879,138849,636418,604447,1.24236e+06,649662
224832,138845,157874,139059,636716,605565,1.24469e+06,650354
225134,139293,157794,139093,636921,605491,1.24112e+06,650242
224878,138730,157849,138951,636029,604826,1.24355e+06,649641
225185,138896,157832,139105,636848,605351,1.24535e+06,650178
225032,139003,157754,139310,637142,605483,1.24186e+06,649816
224946,138657,157788,138969,636793,604699,1.24409e+06,649509
225066,138649,157964,139088,636363,604831,1.24329e+06,649726
225041,139093,157955,139050,637079,605548,1.24554e+06,650371
225024,139046,157716,139029,636994,605061,1.24539e+06,649922
225062,138743,157917,138820,636721,604928,1.24142e+06,649488
224960,138888,157703,138991,636840,605218,1.24346e+06,650059
225181,139050,157669,138951,636981,605565,1.2434e+06,650366
224832,138555,157896,139054,636367,604685,1.24432e+06,649740
224994,138786,157896,139186,636682,605129,1.24523e+06,649683
224921,138926,157802,139264,637108,605769,1.24574e+06,650017
224883,138585,157640,138875,636119,604928,1.24256e+06,649666
224755,138820,157763,139063,636012,604741,1.24284e+06,649683
224908,139020,157669,139131,636733,605496,1.24288e+06,650055
224679,138790,157350,138900,636439,605031,1.24383e+06,649722
224776,138504,157857,138824,636183,604473,1.24255e+06,649748
224861,138917,157917,138974,636456,605415,1.24397e+06,649982
224776,139025,157606,138995,636746,605334,1.24465e+06,649611
224717,138508,157840,138922,636008,604647,1.24411e+06,649287
224751,138730,157845,139152,636128,605508,1.24319e+06,650328
224806,139152,157733,139298,636784,605816,1.24291e+06,649965
224857,138581,157652,138735,636414,604784,1.24447e+06,649154
224857,138547,157849,139110,636255,605270,1.24491e+06,650204
224938,139255,157784,139169,636562,605726,1.24449e+06,650400
224895,138999,157657,139148,636823,605347,1.24172e+06,649628
224776,138735,157887,138926,636166,605091,1.24225e+06,649918
224789,138922,157776,139050,636528,605764,1.24395e+06,650294
224887,139199,157644,138892,636712,605565,1.24296e+06,650042
224802,138688,157788,138939,636162,604720,1.24545e+06,649757
224883,138892,157857,139230,636353,605428,1.24367e+06,650246
224827,138974,157674,139383,637023,605508,1.24276e+06,650405
224900,138735,157699,138922,636486,605087,1.24351e+06,649666
224789,138640,157836,138930,636200,605121,1.24466e+06,649880
