525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
99137,83320,76486,100638,229110,327894,535480,434074
98877,83085,76793,100348,229064,327321,534938,433677
99154,82901,76618,100361,228795,327139,535992,433911
99495,83328,76725,100676,229545,327761,536820,434214
99503,83307,77621,100424,229652,327634,536371,433899
99337,82867,76776,100464,229183,327232,537029,433626
99653,83123,76990,100587,229686,327625,538125,434043
99947,83375,76815,100672,230398,327936,538364,433950
99537,82872,77028,100267,230270,327096,538594,433702
99895,82969,77310,100523,230211,327139,538629,433711
100263,83269,77126,100527,230556,327799,538282,434364
99520,83153,76946,100458,230036,326997,537254,433621
99239,83013,77126,100348,229328,327044,536598,433740
99277,83299,77054,100646,230091,327710,537489,434218
99563,83418,76764,100485,229866,327600,537220,433797
99781,82935,76955,100441,229673,327202,537558,433609
99393,83170,76990,100578,229831,327300,536615,433954
99137,83401,76669,100689,230053,328132,536828,434087
98885,82838,76891,100382,229229,327241,536538,433783
99076,83081,76870,100642,229217,327228,537374,434082
99384,83481,77054,100737,230061,327992,537510,434248
99093,83162,76755,100485,229754,327236,536678,433856
98676,82982,76798,100523,229055,327088,536964,433958
98872,83439,76730,100600,229507,327804,536086,434013
98553,83447,76315,100523,229149,327753,534738,433979
98070,82940,76277,100412,228061,327054,534329,433536
97993,83166,76354,100561,228249,327816,534068,434360
97703,83640,76102,100693,228505,328419,534170,434351
97751,83013,76188,100519,228167,327224,535608,433774
98553,83170,76802,100464,228910,327484,536487,433933
99397,83299,76601,100532,229528,327987,536756,434496
99376,83170,76396,100498,229324,327403,537173,433745
99042,83026,77011,100454,229324,327228,537592,433715
99184,83379,76925,100612,229746,327740,537186,434150
99533,83307,76478,100458,229635,327573,536274,433899
98574,82914,76815,100403,228717,327253,535762,433728
98284,83345,76661,100608,228756,327787,535421,434155
98155,83435,76618,100659,228717,327996,534371,434047
98155,82833,76362,100301,228035,327079,535101,433587
98547,83136,76682,100390,228436,327232,535301,433480
98604,83234,76593,100566,228679,327689,535450,433950
98501,82927,76388,100412,228461,327317,535501,433736
98365,82910,76742,100293,228188,326993,535608,433655
98621,83269,76682,100468,228893,327808,535501,433958
98496,83316,76218,100485,228611,327625,535557,433805
98553,82859,76631,100322,228253,326853,534653,433484
98297,83213,76542,100578,228313,327266,536278,433894
98799,83456,76635,100659,229570,327663,537711,433877
99137,82812,76900,100280,229212,326878,536985,433421
98826,83013,76861,100437,229473,327075,538077,433558
99076,83269,76870,100570,229690,327753,537131,434074
98697,83204,76559,100225,229536,327283,537400,433681
99452,82944,76990,100441,229178,326853,536547,433638
98855,83136,76929,100676,229426,327850,537634,434291
98902,83379,77003,100450,229545,327672,537127,434070
98906,82731,77433,100216,228990,327139,536781,433450
98774,83072,77075,100595,229324,327352,536879,433822
99004,83294,76639,100638,229699,327953,536934,433672
98996,82684,76772,100177,229183,326712,536257,433293
98390,82825,76707,100424,229076,327198,536132,433570
99205,83179,76614,100485,229375,327680,536235,433958
98437,82914,76337,100331,228986,327164,535668,433528
98996,82833,76713,100151,228756,326849,535903,433476
99260,83221,76832,100612,229320,327706,535347,433962
98672,83251,76127,100403,228722,327757,534789,433865
98945,82867,76486,100233,228513,326853,535361,433348
98467,83106,76440,100407,228577,327629,535036,434231
98834,83358,76051,100697,228808,328239,535135,434278
98684,82923,76085,100369,227924,327130,534363,433860
98194,83051,76430,100642,228300,327100,535374,433579
98820,83265,76192,100493,228730,327890,535480,434257
98270,83026,76235,100454,228423,327369,536069,433668
98535,82982,76725,100361,228649,327002,536525,433514
