525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
172223,126654,141192,159375,463016,588156,942123,635458
172194,126914,141217,159478,463408,588890,942335,635790
172271,127153,141145,159900,463745,589257,942263,635842
172211,126573,141131,159307,463101,587956,941901,635317
172147,126808,141230,159580,463178,588455,942123,635637
172343,127068,141192,159580,463749,589329,942396,636170
172121,126846,141114,159453,463514,588340,942301,635373
172211,126706,141260,159392,463020,588190,942045,635538
172339,126983,141272,159695,463622,589189,942578,636042
172301,127013,141016,159546,463592,588912,942356,635692
172155,126701,141268,159363,463349,588161,942216,635360
172236,126957,141311,159491,463254,588766,942417,635675
172253,127081,141175,159921,463711,589172,942280,635777
172147,126658,141118,159295,463165,588105,941892,635428
172168,126799,141204,159555,463203,588421,942259,635650
172232,127059,141183,159623,463741,589265,942732,635931
172155,126854,141012,159478,463417,588305,942216,635339
172096,126662,141166,159432,463037,588241,942267,635612
172305,126983,141145,159640,463668,589180,942301,635961
172267,127042,141016,159593,463626,588916,942322,635817
172232,126672,141204,159320,463114,588229,941943,635322
172245,126927,141200,159563,463212,589060,942498,635919
172284,127102,141016,159853,463809,589197,942707,635726
172143,126632,141175,159346,463088,588105,942117,635411
172185,126735,141204,159580,463152,588643,942310,635731
172339,127076,141153,159722,463715,589397,942669,636158
172177,126744,141025,159397,463336,588349,942314,635091
172168,126723,141230,159436,463076,588349,942028,635424
172245,126939,141251,159670,463506,589086,942638,635829
172263,127102,141067,159461,463626,588907,942297,635765
172211,126662,141131,159405,463071,588275,942079,635214
172288,126931,141264,159593,463332,588886,942361,635663
172331,127140,141175,159849,463852,589099,942864,635684
172130,126603,141268,159346,462990,588246,942083,635300
172219,126727,141158,159563,463190,588514,942515,635385
172322,127110,141247,159627,463575,589384,942779,636033
172206,126829,141106,159457,463468,588361,942242,635330
172206,126672,141230,159436,463105,588216,942123,635641
172318,127119,141213,159665,463510,589138,942766,635773
172318,127068,141025,159487,463775,589014,942417,635782
172198,126744,141187,159436,462985,588186,942075,635317
172305,126970,141247,159593,463400,589026,942663,635885
172223,127081,141110,159853,463903,589295,942898,635893
172185,126676,141196,159286,463254,588280,942365,635214
172211,126854,141277,159580,463298,588639,942267,635620
172365,127064,141221,159619,463745,589189,942663,636141
172177,126859,141084,159466,463531,588463,942447,635373
172228,126752,141179,159453,463071,588284,942310,635658
172267,126991,141230,159670,463506,589185,942595,635825
172339,127191,141097,159593,463715,589069,942276,635842
172130,126697,141226,159388,463084,588169,942314,635449
172194,126910,141226,159512,463400,589103,942587,636008
172339,127144,141127,159841,463792,589333,942527,635846
172151,126676,141200,159384,463105,588076,942148,635398
172177,126808,141281,159508,463387,588609,942587,635590
172292,127013,141251,159674,463647,589299,942677,636119
172219,126888,141029,159436,463596,588514,942408,635236
172117,126765,141200,159405,462934,588263,942117,635692
172352,127042,141311,159665,463707,589138,942638,636004
172147,127059,140936,159606,463656,589056,942638,635548
172215,126706,141298,159384,463097,588344,942037,635261
172292,127017,141362,159585,463400,589073,942574,635982
172219,127239,141149,159785,463903,589308,942728,635876
172232,126598,141217,159414,463199,588182,942413,635544
172223,126795,141315,159619,463323,588553,942425,635782
172314,127166,141298,159726,463617,589363,942919,636132
172219,126795,141076,159525,463455,588455,942651,635475
172117,126735,141255,159483,463148,588540,942212,635607
172314,127000,141294,159802,463596,589103,942669,635919
172322,127123,141093,159572,463873,589056,942587,635923
172164,126710,141243,159392,463114,588156,942135,635330
172168,127000,141336,159551,463306,588920,942447,635906
172297,127149,141162,159896,463796,589401,942669,635999
172202,126658,141200,159329,463144,588203,942020,635462
172172,126833,141328,159640,463156,588715,942386,635688
172253,127132,141213,159705,463677,589350,942686,636187
