525nmC1,525nmC2,630nmC1,630nmC2,850nmC1,850nmC2,940nmC1,940nmC2
59023,2533,26519,4956,63791,5033,90353,4444
58924,3437,26642,4990,79276,5502,116190,5152
58976,2946,26595,4931,67332,4747,94090,4137
59091,2337,26574,4389,52654,4649,87610,4205
58941,3322,26549,4717,78584,5433,109494,5067
58882,3454,26612,4811,71440,4999,105689,4645
59019,2439,26600,3748,55938,4635,75786,3795
59057,2742,26481,4402,73492,5579,103850,4999
58993,3655,26583,5523,76874,5420,110747,4931
59108,2669,26591,3356,60498,4627,86753,4060
59091,2508,26553,3936,65702,5079,91637,4402
58924,3484,26587,5348,81635,5494,114625,5221
58882,2997,26689,4316,70280,4785,97563,4129
59074,2324,26578,4444,56246,4683,88613,4175
59010,3236,26502,5433,79361,5511,113537,5075
59010,3480,26583,4973,71423,5007,100771,4683
59087,2486,26570,3390,57585,4521,79420,3744
58958,2819,26536,4589,71503,5477,101069,4969
58928,3578,26450,5395,80990,5306,112808,4836
59065,2567,26523,3587,60827,4653,87641,4021
59027,2482,26416,4555,63643,5067,91574,4495
58962,3475,26532,5502,78597,5420,119227,5216
58886,2781,26471,4427,66650,4700,95844,4150
59087,2332,26540,3685,56784,4550,86228,4072
58882,3253,26471,5318,82795,5454,112510,5075
59019,3369,26591,5255,73914,5041,104733,4576
59138,2465,26583,3877,57436,4470,79971,3723
59048,2861,26458,4068,70536,5408,106269,4999
58852,3604,26458,5450,78956,5267,109075,4874
59031,2580,26608,4389,63523,4623,88763,4004
59116,2457,26544,3953,64180,4977,93681,4385
58980,3433,26604,5344,81686,5464,112906,5147
58937,2789,26489,4533,69644,4751,101619,4243
59027,2362,26527,3194,53716,4670,89057,4226
58945,3314,26471,4641,76908,5442,113866,5118
58907,3518,26527,4410,74870,5054,103808,4666
59019,2439,26587,4252,57743,4529,77105,3843
59027,2878,26532,4491,72669,5583,107314,5101
58945,3583,26498,5062,77509,5416,111323,4823
59002,2627,26612,4499,59245,4700,90285,4043
59061,2554,26493,3723,62563,5033,91910,4478
58958,3424,26502,5340,77463,5468,116480,5130
58877,2849,26532,4328,66828,4717,94760,4141
58997,2345,26498,4320,53315,4589,87385,4180
58916,3297,26463,5152,79130,5519,115196,5105
58894,3484,26600,4948,75475,4982,105492,4704
59082,2439,26595,4414,55891,4504,80466,3834
